Time (UTC),Open,High,Low,Close,Volume 
2017.05.10 15:54:50,1.36549,1.36551,1.36543,1.3655,26.84
2017.05.10 15:55:00,1.3655,1.3655,1.36532,1.36541,28.24
2017.05.10 15:55:10,1.36541,1.36541,1.3654,1.3654,7.99
2017.05.10 15:55:20,1.36539,1.36547,1.36539,1.36545,25.11
2017.05.10 15:55:30,1.36547,1.3655,1.36544,1.36548,28.61
2017.05.10 15:55:40,1.36549,1.36569,1.36549,1.36567,53.17
2017.05.10 15:55:50,1.36568,1.36571,1.36566,1.36567,37.06
2017.05.10 15:56:00,1.36566,1.36566,1.36553,1.36557,41.71
2017.05.10 15:56:10,1.36556,1.36558,1.36551,1.36552,23.09
2017.05.10 15:56:20,1.36553,1.36554,1.3655,1.36551,24.09
2017.05.10 15:56:30,1.36549,1.3655,1.3653,1.3653,52.94
2017.05.10 15:56:40,1.3653,1.36539,1.3653,1.36536,49.46
2017.05.10 15:56:50,1.36537,1.36537,1.36529,1.3653,31.6
2017.05.10 15:57:00,1.36527,1.36532,1.36527,1.36531,14.87
2017.05.10 15:57:10,1.36532,1.36534,1.36529,1.36529,17.86
2017.05.10 15:57:20,1.3653,1.3653,1.36529,1.3653,4.86
2017.05.10 15:57:30,1.3653,1.3653,1.36527,1.36527,11.61
2017.05.10 15:57:40,1.36529,1.36539,1.36529,1.36538,12.37
2017.05.10 15:57:50,1.36538,1.36538,1.36529,1.36529,6.5
2017.05.10 15:58:00,1.36529,1.36532,1.36529,1.36531,21.11
2017.05.10 15:58:10,1.3653,1.36531,1.36529,1.36531,36.72
2017.05.10 15:58:20,1.36532,1.36532,1.3653,1.3653,7.74
2017.05.10 15:58:30,1.3653,1.36531,1.36521,1.36521,11.37
2017.05.10 15:58:40,1.36521,1.36535,1.36521,1.36525,27.45
2017.05.10 15:58:50,1.36523,1.36535,1.36523,1.3653,18.96
2017.05.10 15:59:00,1.36529,1.3654,1.36529,1.3654,21.36
2017.05.10 15:59:10,1.3654,1.3654,1.36528,1.36528,13.22
2017.05.10 15:59:20,1.3653,1.36534,1.36529,1.3653,13.1
2017.05.10 15:59:30,1.36531,1.3654,1.36531,1.3654,12.85
2017.05.10 15:59:40,1.36541,1.36541,1.36528,1.3653,27.82
2017.05.10 15:59:50,1.3653,1.36534,1.36529,1.36532,21.36
2017.05.10 16:00:00,1.36532,1.36548,1.36522,1.36545,41.05
2017.05.10 16:00:10,1.36545,1.36545,1.3654,1.36542,11.86
